#	Labrune - D:\NFS World\LANGUAGES\English_Global.bin
#	File created on: 18.06.2020 21:18:33
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	76900BE9	GM_CATALOG_HRE_STYLE01_17_25	943R 17"
0	7690984A	GM_CATALOG_HRE_STYLE01_18_25	943R 18"
0	769124AB	GM_CATALOG_HRE_STYLE01_19_25	943R 19"
0	769E4DC3	GM_CATALOG_HRE_STYLE01_20_25	943R 20"
0	769EDA24	GM_CATALOG_HRE_STYLE01_21_25	943R 21"
0	C38A48AA	GM_CATALOG_HRE_STYLE02_17_25	541R 17"
0	C38AD50B	GM_CATALOG_HRE_STYLE02_18_25	541R 18"
0	C38B616C	GM_CATALOG_HRE_STYLE02_19_25	541R 19"
0	C3988A84	GM_CATALOG_HRE_STYLE02_20_25	541R 20"
0	C39916E5	GM_CATALOG_HRE_STYLE02_21_25	541R 21"
0	1084856B	GM_CATALOG_HRE_STYLE03_17_25	549R 17"
0	108511CC	GM_CATALOG_HRE_STYLE03_18_25	549R 18"
0	10859E2D	GM_CATALOG_HRE_STYLE03_19_25	549R 19"
0	1092C745	GM_CATALOG_HRE_STYLE03_20_25	549R 20"
0	109353A6	GM_CATALOG_HRE_STYLE03_21_25	549R 21"
0	2FDAAE1C	GM_CATALOG_5ZIGEN_STYLE01_17_25	5ZR 17"
0	2FDB3A7D	GM_CATALOG_5ZIGEN_STYLE01_18_25	5ZR 18"
0	2FDBC6DE	GM_CATALOG_5ZIGEN_STYLE01_19_25	5ZR 19"
0	2FE8EFF6	GM_CATALOG_5ZIGEN_STYLE01_20_25	5ZR 20"
0	2FE97C57	GM_CATALOG_5ZIGEN_STYLE01_21_25	5ZR 21"
0	7CD4EADD	GM_CATALOG_5ZIGEN_STYLE02_17_25	FN01R 17"
0	7CD5773E	GM_CATALOG_5ZIGEN_STYLE02_18_25	FN01R 18"
0	7CD6039F	GM_CATALOG_5ZIGEN_STYLE02_19_25	FN01R 19"
0	7CE32CB7	GM_CATALOG_5ZIGEN_STYLE02_20_25	FN01R 20"
0	7CE3B918	GM_CATALOG_5ZIGEN_STYLE02_21_25	FN01R 21"
0	C9CF279E	GM_CATALOG_5ZIGEN_STYLE03_17_25	SUPERSIX 17"
0	C9CFB3FF	GM_CATALOG_5ZIGEN_STYLE03_18_25	SUPERSIX 18"
0	C9D04060	GM_CATALOG_5ZIGEN_STYLE03_19_25	SUPERSIX 19"
0	C9DD6978	GM_CATALOG_5ZIGEN_STYLE03_20_25	SUPERSIX 20"
0	C9DDF5D9	GM_CATALOG_5ZIGEN_STYLE03_21_25	SUPERSIX 21"
0	16C9645F	GM_CATALOG_5ZIGEN_STYLE04_17_25	GN+ 17"
0	16C9F0C0	GM_CATALOG_5ZIGEN_STYLE04_18_25	GN+ 18"
0	16CA7D21	GM_CATALOG_5ZIGEN_STYLE04_19_25	GN+ 19"
0	16D7A639	GM_CATALOG_5ZIGEN_STYLE04_20_25	GN+ 20"
0	16D8329A	GM_CATALOG_5ZIGEN_STYLE04_21_25	GN+ 21"
0	63C3A120	GM_CATALOG_5ZIGEN_STYLE05_17_25	GRAVIS 1 17"
0	63C42D81	GM_CATALOG_5ZIGEN_STYLE05_18_25	GRAVIS 1 18"
0	63C4B9E2	GM_CATALOG_5ZIGEN_STYLE05_19_25	GRAVIS 1 19"
0	63D1E2FA	GM_CATALOG_5ZIGEN_STYLE05_20_25	GRAVIS 1 20"
0	63D26F5B	GM_CATALOG_5ZIGEN_STYLE05_21_25	GRAVIS 1 21"
0	12535E61	GM_CATALOG_ADR_STYLE01_17_25	EMPIRE 17"
0	1253EAC2	GM_CATALOG_ADR_STYLE01_18_25	EMPIRE 18"
0	12547723	GM_CATALOG_ADR_STYLE01_19_25	EMPIRE 19"
0	1261A03B	GM_CATALOG_ADR_STYLE01_20_25	EMPIRE 20"
0	12622C9C	GM_CATALOG_ADR_STYLE01_21_25	EMPIRE 21"
0	5F4D9B22	GM_CATALOG_ADR_STYLE02_17_25	ADRENALINE 17"
0	5F4E2783	GM_CATALOG_ADR_STYLE02_18_25	ADRENALINE 18"
0	5F4EB3E4	GM_CATALOG_ADR_STYLE02_19_25	ADRENALINE 19"
0	5F5BDCFC	GM_CATALOG_ADR_STYLE02_20_25	ADRENALINE 20"
0	5F5C695D	GM_CATALOG_ADR_STYLE02_21_25	ADRENALINE 21"
0	AC47D7E3	GM_CATALOG_ADR_STYLE03_17_25	GT-SPORT 17"
0	AC486444	GM_CATALOG_ADR_STYLE03_18_25	GT-SPORT 18"
0	AC48F0A5	GM_CATALOG_ADR_STYLE03_19_25	GT-SPORT 19"
0	AC5619BD	GM_CATALOG_ADR_STYLE03_20_25	GT-SPORT 20"
0	AC56A61E	GM_CATALOG_ADR_STYLE03_21_25	GT-SPORT 21"
0	F94214A4	GM_CATALOG_ADR_STYLE04_17_25	M SPORT 17"
0	F942A105	GM_CATALOG_ADR_STYLE04_18_25	M SPORT 18"
0	F9432D66	GM_CATALOG_ADR_STYLE04_19_25	M SPORT 19"
0	F950567E	GM_CATALOG_ADR_STYLE04_20_25	M SPORT 20"
0	F950E2DF	GM_CATALOG_ADR_STYLE04_21_25	M SPORT 21"
