000BCB9F	GAME_ACTION_CREWDEFENSIVE	ACTIVATE CREW MEMBER
002A7F4F	SKILLNAME_EXPLORER	EXPLORER
003381B1	TXT_TUTRL_PWRUPRACE	IN A RACE: Gain a speed boost, block opponents with traffic or add another lap to catch the leader.
004256E3	NFSW_FORD_12MUSTBOSS_HEADER2	Race Like a Boss!
00758C08	TTRL_FIRSTDRIVER_1	The first thing you need to do is create a new Driver.\n\nYour Driver represents who you are as a street racer. It's up to you to become famous by competing against other Drivers, collecting some amazing supercars and customizing them to your liking.\n\nYou need to choose a unique name and picture for your Driver, so let's get started.
00758C09	TTRL_FIRSTDRIVER_2	Driver names can be up to 14 characters and will be unique to you.
00758C0A	TTRL_FIRSTDRIVER_3	Click on the arrows to browse then select the one you want.
00758C0B	TTRL_FIRSTDRIVER_4	Once you've selected your name and picture click to create your Driver.
0099F2C1	NFSW_A1_Custom_Header1	CUSTOM AUDI A1 CLUBSPORT QUATTRO
0099F2C2	NFSW_A1_Custom_Header2	FACTORY DESIGNED AND INSPIRED!
00AD4887	TXT_SYSCHT_SCOPE_BROADCAST	BROADCAST
00D171A4	TXT_CNM_ZONE_LOWERING_KIT	LOWERING KT
00D412F7	TXT_CMN_OPTIONS_BTN_RBRACKET	]
00D60E2C	TXT_CMN_BRKEREV	BRAKE / REVERSE
00EE416D	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
00EE416E	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGREE
00EED2CD	TXT_POWUP_READY	READY!
011F7C1B	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	SERVER ERROR
0131CE3F	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] just won a multiplayer race for the first time.
017A663C	TXT_CMN_MEDIUM	MEDIUM
01913199	TXT_TLTP_VIDSET_RAIN	TOGGLE THE RAIN EFFECT ON OR OFF
01993993	MSG_PUP_TRAFFIC_MAGNET	TRAFFIC MAGNET
019E1F13	CMN_SKILL_MOD_SHOP	SKILL WORKSHOP
01C77460	TOOL_TIP_WALDO_FLIP_DOWN	FLIP VINYL DOWN
01CA315A	PARTMANU_GROMLEN	GROMLEN
01CBAAB3	TOOL_TIP_WALDO_FLIP_LEFT	FLIP VINYL LEFT
01F57CCE	TXT_LBL_NEWS_FILTER_DISPLAY	DISPLAY:
01FC94FC	PRESETCAR_DESCRIPTION_LAM_GALL09_1	RED CARPET
01FC94FD	PRESETCAR_DESCRIPTION_LAM_GALL09_2	GRAPHITE
020BD199	TXT_POPUP_BUYCARFAIL_INSUFFICIENTFUNDS	YOU DO NOT HAVE ENOUGH CASH OR ¤BOOST TO PURCHASE THIS CAR. 
